longitude,latitude
37.5656,55.78557
37.56513,55.78519
37.56499,55.78508
37.56489,55.78501
37.56339,55.78395
37.56203,55.78301
37.56157,55.78267
37.56091,55.78219
37.56077,55.78209
37.55961,55.78124
37.55946,55.78113
37.55884,55.78069
37.55855,55.78047
37.55815,55.78016
37.55788,55.77993
37.55773,55.77981
37.55759,55.77966
37.55755,55.77962
37.55752,55.77959
37.55743,55.77948
37.55728,55.77931
37.55682,55.77873
37.55581,55.77738
37.55564,55.77716
37.55512,55.77648
37.55476,55.77604
37.55464,55.7759
37.55458,55.77584
37.55454,55.7758
37.55439,55.77565
37.55427,55.77553
37.55426,55.77552
37.55416,55.77544
37.55408,55.77536
37.55399,55.77529
37.55388,55.7752
37.55381,55.77514
37.55373,55.77509
37.55361,55.77501
37.55341,55.7749
37.55295,55.77465
37.5529,55.77462
37.55281,55.77459
37.55264,55.77453
37.55242,55.77445
37.55224,55.77438
37.55199,55.7743
37.55169,55.77422
37.55153,55.77419
37.55134,55.77415
37.55115,55.77412
37.551,55.7741
37.55079,55.77407
37.55062,55.77405
37.55061,55.77405
37.55031,55.77403
37.5503,55.77403
37.5502,55.77402
37.54988,55.77399
37.54964,55.77397
37.54872,55.77389
37.54825,55.77387
37.54804,55.77386
37.54781,55.77384
37.54759,55.77381
37.54728,55.77377
37.54706,55.77373
37.54685,55.77368
37.54682,55.77368
37.54668,55.77364
37.54656,55.77361
37.54644,55.77358
37.54643,55.77358
37.54632,55.77354
37.54618,55.7735
37.54614,55.77348
37.54598,55.77342
37.54577,55.77334
37.54561,55.77327
37.54549,55.77321
37.54538,55.77315
37.54527,55.77309
37.54515,55.77301
37.54508,55.77297
37.54505,55.77295
37.54496,55.7729
37.5449,55.77285
37.54487,55.77282
37.54486,55.77281
37.54476,55.77273
37.54474,55.77271
37.54468,55.77266
37.54466,55.77264
37.54459,55.77258
37.54451,55.77251
37.54418,55.77221
37.54418,55.7722
37.54414,55.77216
37.54399,55.77202
37.54386,55.77189
37.54385,55.77188
37.54381,55.77185
37.54339,55.77145
37.54314,55.77122
37.54298,55.77107
37.54286,55.77097
37.5428,55.7709
37.54272,55.77082
37.54257,55.77068
37.54242,55.77054
37.54239,55.77048
37.54236,55.77044
37.54225,55.77036
37.54195,55.77016
37.54165,55.76997
37.54155,55.76991
37.54072,55.76949
37.54044,55.76935
37.54026,55.76926
37.53999,55.7691
37.53964,55.76888
37.53935,55.76868
37.53909,55.76849
37.53868,55.76813
37.53834,55.76782
37.53821,55.7677
37.53803,55.7675
37.53791,55.76735
37.53776,55.76712
37.53766,55.76693
37.53758,55.76675
37.53747,55.7665
37.53729,55.76605
37.53717,55.76572
37.53707,55.76547
37.53702,55.76536
37.53675,55.76487
37.53662,55.76464
37.53629,55.764
37.53608,55.76356
37.53592,55.76326
37.53582,55.76297
37.53576,55.76278
37.53573,55.76269
37.53561,55.7624
37.53556,55.76228
37.53541,55.76193
37.53534,55.76175
37.53516,55.76131
37.53488,55.7607
37.53477,55.76057
37.53469,55.76046
37.53449,55.76013
37.53443,55.76005
37.53442,55.76002
37.53438,55.75995
37.53428,55.75973
37.53408,55.75925
37.53406,55.75922
37.53404,55.75918
37.53401,55.75909
37.53398,55.75902
37.53395,55.75895
37.53393,55.75888
37.5339,55.75878
37.53387,55.7587
37.53336,55.75732
37.53334,55.75729
37.5331,55.75675
37.533,55.75653
37.53285,55.75596
37.53277,55.75579
37.53269,55.75562
37.53239,55.75507
37.53203,55.75436
37.53186,55.754
37.53169,55.75364
37.53163,55.7535
37.53157,55.75337
37.53149,55.7532
37.53141,55.75301
37.53127,55.75236
37.53122,55.7518
37.53127,55.75146
37.53132,55.75107
37.53147,55.75038
37.53169,55.74992
37.53174,55.74983
37.53189,55.74951
37.53194,55.74939
37.53201,55.74923
37.53204,55.74917
37.53207,55.74905
37.53216,55.74868
37.53224,55.74828
37.53252,55.74728
37.53283,55.74613
37.5329,55.7459
37.53302,55.74555
37.53307,55.74536
37.5331,55.74521
37.53316,55.74498
37.53324,55.74466
37.53326,55.74458
37.53332,55.74436
37.53333,55.74434
37.53334,55.74429
37.53335,55.74425
37.53339,55.74414
37.53343,55.74403
37.53346,55.74394
37.53349,55.74385
37.53354,55.74366
37.53374,55.74305
37.53399,55.74246
37.5341,55.74231
37.53421,55.74215
37.53427,55.74204
37.53433,55.74193
37.53515,55.74051
37.53549,55.73999
37.53583,55.73948
37.53616,55.73907
37.53629,55.73891
37.53641,55.73876
37.53687,55.73827
37.53779,55.73751
37.53806,55.73731
37.53894,55.73666
37.53906,55.73658
37.53913,55.73653
37.53921,55.73648
37.53928,55.73643
37.53976,55.73613
37.54021,55.73586
37.54083,55.73547
37.54142,55.73508
37.54175,55.73486
37.54204,55.73465
37.54215,55.73457
37.54221,55.73451
37.54246,55.73428
37.54257,55.73416
37.54263,55.73408
37.54268,55.73401
37.54281,55.73381
37.54286,55.73372
37.54286,55.7337
37.54294,55.73355
37.54298,55.73347
37.54305,55.73328
37.54312,55.73301
37.5432,55.73274
37.5433,55.73243
37.54331,55.73237
37.54335,55.73222
37.54338,55.7321
37.54343,55.73194
37.54344,55.73186
37.54346,55.7318
37.54348,55.73173
37.54374,55.73131
37.54382,55.73124
37.54393,55.73108
37.54411,55.7309
37.54446,55.73053
37.54544,55.72947
37.5459,55.72898
37.54637,55.72848
37.54673,55.72808
37.5471,55.72767
37.54736,55.72741
37.54763,55.72715
37.54786,55.72693
37.5481,55.7267
37.54833,55.72649
37.54856,55.72628
37.54871,55.72612
37.54886,55.72596
37.54896,55.72584
37.54906,55.72571
37.54932,55.72544
37.54951,55.72525
37.54993,55.72488
37.55017,55.7247
37.5506,55.72439
37.55088,55.7242
37.55102,55.72411
37.55135,55.72388
37.55167,55.72366
37.55201,55.72346
37.55234,55.72326
37.55259,55.72312
37.55281,55.72299
37.55291,55.72294
37.55306,55.72286
37.55344,55.72268
37.55382,55.7225
37.55411,55.72238
37.55456,55.72219
37.55514,55.72196
